name,rarity,source,details,wiki_page,image_url
Magnetic Talisman,UNCOMMON,Crafting Recipe,Emerald Collection III,https://wiki.hypixel.net/Magnetic_Talisman,https://wiki.hypixel.net/images/e/ec/SkyBlock_items_magnetic_talisman.png
Emerald Ring,UNCOMMON,Crafting Recipe,Emerald Collection V,https://wiki.hypixel.net/Emerald_Ring,https://wiki.hypixel.net/images/1/1e/SkyBlock_items_emerald_ring.png
Day Crystal,RARE,Crafting Recipe,Nether Quartz Collection VIII,https://wiki.hypixel.net/Day_Crystal,https://wiki.hypixel.net/images/1/16/SkyBlock_items_day_crystal.png
Night Crystal,RARE,Crafting Recipe,Nether Quartz Collection VII,https://wiki.hypixel.net/Night_Crystal,https://wiki.hypixel.net/images/5/5d/SkyBlock_items_night_crystal.png
Gravity Talisman,UNCOMMON,Crafting Recipe,Obsidian Collection III,https://wiki.hypixel.net/Gravity_Talisman,https://wiki.hypixel.net/images/f/f5/SkyBlock_items_gravity_talisman.png
Personal Compactor 4000,UNCOMMON,Crafting Recipe,Redstone Collection IX,https://wiki.hypixel.net/Personal_Compactor_4000,https://wiki.hypixel.net/images/b/bb/SkyBlock_items_enchanted_dropper.gif
Personal Compactor 5000,RARE,Crafting Recipe,Redstone Collection XI,https://wiki.hypixel.net/Personal_Compactor_5000,https://wiki.hypixel.net/images/b/bb/SkyBlock_items_enchanted_dropper.gif
Personal Compactor 6000,EPIC,Crafting Recipe,Redstone Collection XIII,https://wiki.hypixel.net/Personal_Compactor_6000,https://wiki.hypixel.net/images/b/bb/SkyBlock_items_enchanted_dropper.gif
Personal Compactor 7000,LEGENDARY,Crafting Recipe,Redstone Collection XIV,https://wiki.hypixel.net/Personal_Compactor_7000,https://wiki.hypixel.net/images/b/bb/SkyBlock_items_enchanted_dropper.gif
Personal Deletor 4000,UNCOMMON,Crafting Recipe,Iron Ingot Collection IX,https://wiki.hypixel.net/Personal_Deletor_4000,https://wiki.hypixel.net/images/4/4a/SkyBlock_items_enchanted_dispenser.gif
Personal Deletor 5000,RARE,Crafting Recipe,Iron Ingot Collection X,https://wiki.hypixel.net/Personal_Deletor_5000,https://wiki.hypixel.net/images/4/4a/SkyBlock_items_enchanted_dispenser.gif
Personal Deletor 6000,EPIC,Crafting Recipe,Iron Ingot Collection XI,https://wiki.hypixel.net/Personal_Deletor_6000,https://wiki.hypixel.net/images/4/4a/SkyBlock_items_enchanted_dispenser.gif
Personal Deletor 7000,LEGENDARY,Crafting Recipe,Iron Ingot Collection XII,https://wiki.hypixel.net/Personal_Deletor_7000,https://wiki.hypixel.net/images/4/4a/SkyBlock_items_enchanted_dispenser.gif
Talisman Of Power,COMMON,Crafting Recipe,Gemstone Collection IV,https://wiki.hypixel.net/Talisman_Of_Power,https://wiki.hypixel.net/images/8/86/SkyBlock_items_power_talisman.png
Ring Of Power,UNCOMMON,Crafting Recipe,Gemstone Collection VI,https://wiki.hypixel.net/Ring_Of_Power,https://wiki.hypixel.net/images/f/fc/SkyBlock_items_power_ring.png
Artifact Of Power,RARE,Crafting Recipe,Gemstone Collection X,https://wiki.hypixel.net/Artifact_Of_Power,https://wiki.hypixel.net/images/1/1c/SkyBlock_items_power_artifact.png
Fire Talisman,COMMON,Crafting Recipe,Blaze Rod Collection IV,https://wiki.hypixel.net/Fire_Talisman,https://wiki.hypixel.net/images/9/9f/SkyBlock_items_fire_talisman.png
Lava Talisman,UNCOMMON,Crafting Recipe,Magma Cream Collection VI,https://wiki.hypixel.net/Lava_Talisman,https://wiki.hypixel.net/images/8/81/SkyBlock_items_lava_talisman.png
Wood Affinity Talisman,UNCOMMON,Crafting Recipe,Oak Log Collection VIII,https://wiki.hypixel.net/Wood_Affinity_Talisman,https://wiki.hypixel.net/images/a/a1/SkyBlock_items_wood_talisman.png
Small Fish Bowl,COMMON,Crafting Recipe,Tender Wood Collection II,https://wiki.hypixel.net/Small_Fish_Bowl,https://wiki.hypixel.net/images/1/16/SkyBlock_items_small_fish_bowl.png
Medium Fish Bowl,UNCOMMON,Crafting Recipe,Tender Wood Collection IV,https://wiki.hypixel.net/Medium_Fish_Bowl,https://wiki.hypixel.net/images/0/05/SkyBlock_items_medium_fish_bowl.png
Large Fish Bowl,RARE,Crafting Recipe,Tender Wood Collection VI,https://wiki.hypixel.net/Large_Fish_Bowl,https://wiki.hypixel.net/images/f/f7/SkyBlock_items_large_fish_bowl.png
Pressure Talisman,COMMON,Crafting Recipe,Sea Lumies Collection V,https://wiki.hypixel.net/Pressure_Talisman,https://wiki.hypixel.net/images/e/e4/SkyBlock_items_pressure_talisman.png
Pressure Ring,UNCOMMON,Crafting Recipe,Sea Lumies Collection VII,https://wiki.hypixel.net/Pressure_Ring,https://wiki.hypixel.net/images/7/77/SkyBlock_items_pressure_ring.png
Pressure Artifact,RARE,Crafting Recipe,Sea Lumies Collection IX,https://wiki.hypixel.net/Pressure_Artifact,https://wiki.hypixel.net/images/b/bd/SkyBlock_items_pressure_artifact.png
Bait Ring,RARE,Crafting Recipe,Ink Sac Collection VIII,https://wiki.hypixel.net/Bait_Ring,https://wiki.hypixel.net/images/c/c7/SkyBlock_items_bait_ring.png
Sea Creature Talisman,COMMON,Crafting Recipe,Sponge Collection III,https://wiki.hypixel.net/Sea_Creature_Talisman,https://wiki.hypixel.net/images/2/2b/SkyBlock_items_sea_creature_talisman.png
Sea Creature Ring,UNCOMMON,Crafting Recipe,Sponge Collection VI,https://wiki.hypixel.net/Sea_Creature_Ring,https://wiki.hypixel.net/images/e/e0/SkyBlock_items_sea_creature_ring.png
Sea Creature Artifact,RARE,Crafting Recipe,Sponge Collection VIII,https://wiki.hypixel.net/Sea_Creature_Artifact,https://wiki.hypixel.net/images/6/62/SkyBlock_items_sea_creature_artifact.png
Healing Talisman,COMMON,Crafting Recipe,Lily Pad Collection III,https://wiki.hypixel.net/Healing_Talisman,https://wiki.hypixel.net/images/5/5a/SkyBlock_items_healing_talisman.png
Healing Ring,UNCOMMON,Crafting Recipe,Lily Pad Collection VIII,https://wiki.hypixel.net/Healing_Ring,https://wiki.hypixel.net/images/9/98/SkyBlock_items_healing_ring.png
Zombie Talisman,COMMON,Shop Purchase,Adventurer,https://wiki.hypixel.net/Zombie_Talisman,https://wiki.hypixel.net/images/4/40/Minecraft_items_zombie_head.png
Skeleton Talisman,COMMON,Shop Purchase,Adventurer,https://wiki.hypixel.net/Skeleton_Talisman,https://wiki.hypixel.net/images/c/cf/Minecraft_items_skeleton_skull.png
Village Affinity Talisman,COMMON,Shop Purchase,Adventurer,https://wiki.hypixel.net/Village_Affinity_Talisman,https://wiki.hypixel.net/images/d/db/SkyBlock_items_village_talisman.png
Mine Affinity Talisman,COMMON,Shop Purchase,Adventurer,https://wiki.hypixel.net/Mine_Affinity_Talisman,https://wiki.hypixel.net/images/4/4d/SkyBlock_items_mine_talisman.png
Intimidation Talisman,COMMON,Shop Purchase,Adventurer,https://wiki.hypixel.net/Intimidation_Talisman,https://wiki.hypixel.net/images/7/7d/SkyBlock_items_intimidation_talisman.png
Scavenger Talisman,COMMON,Shop Purchase,Adventurer,https://wiki.hypixel.net/Scavenger_Talisman,https://wiki.hypixel.net/images/6/63/SkyBlock_items_scavenger_talisman.png
Anita's Talisman,COMMON,Shop Purchase,Anita,https://wiki.hypixel.net/Anita%27s_Talisman,https://wiki.hypixel.net/images/6/66/SkyBlock_items_anita_talisman.png
Anita's Ring,UNCOMMON,Shop Purchase,Anita,https://wiki.hypixel.net/Anita%27s_Ring,https://wiki.hypixel.net/images/1/19/SkyBlock_items_anita_ring.png
Anita's Artifact,RARE,Shop Purchase,Anita,https://wiki.hypixel.net/Anita%27s_Artifact,https://wiki.hypixel.net/images/0/04/SkyBlock_items_anita_artifact.png
Pesthunter Badge,UNCOMMON,Shop Purchase,Phillip,https://wiki.hypixel.net/Pesthunter_Badge,https://wiki.hypixel.net/images/b/b6/SkyBlock_items_pesthunter_badge.png
Pesthunter Ring,RARE,Shop Purchase,Phillip,https://wiki.hypixel.net/Pesthunter_Ring,https://wiki.hypixel.net/images/f/f0/SkyBlock_items_pesthunter_ring.png
Pesthunter Artifact,EPIC,Shop Purchase,Phillip,https://wiki.hypixel.net/Pesthunter_Artifact,https://wiki.hypixel.net/images/0/0b/SkyBlock_items_pesthunter_artifact.png
Bits Talisman,RARE,Shop Purchase,Elizabeth,https://wiki.hypixel.net/Bits_Talisman,https://wiki.hypixel.net/images/c/c3/SkyBlock_items_bits_talisman.png
Sumsung© G3 Abicase,RARE,Shop Purchase,Elizabeth,https://wiki.hypixel.net/Sumsung%C2%A9_G3_Abicase,https://wiki.hypixel.net/images/8/81/SkyBlock_items_abicase_sumsung_1.png
Sumsung© GG Abicase,RARE,Shop Purchase,Elizabeth,https://wiki.hypixel.net/Sumsung%C2%A9_GG_Abicase,https://wiki.hypixel.net/images/9/96/SkyBlock_items_abicase_sumsung_2.png
Rezar® Abicase,RARE,Shop Purchase,Elizabeth,https://wiki.hypixel.net/Rezar%C2%AE_Abicase,https://wiki.hypixel.net/images/0/08/SkyBlock_items_abicase_rezar.png
Blue™ But Red Abicase,RARE,Shop Purchase,Elizabeth,https://wiki.hypixel.net/Blue%E2%84%A2_But_Red_Abicase,https://wiki.hypixel.net/images/0/0a/SkyBlock_items_abicase_blue_red.png
Actually Blue™ Abicase,RARE,Shop Purchase,Elizabeth,https://wiki.hypixel.net/Actually_Blue%E2%84%A2_Abicase,https://wiki.hypixel.net/images/d/db/SkyBlock_items_abicase_blue_blue.png
Blue™ But Green Abicase,RARE,Shop Purchase,Elizabeth,https://wiki.hypixel.net/Blue%E2%84%A2_But_Green_Abicase,https://wiki.hypixel.net/images/a/ab/SkyBlock_items_abicase_blue_green.png
Blue™ But Yellow Abicase,RARE,Shop Purchase,Elizabeth,https://wiki.hypixel.net/Blue%E2%84%A2_But_Yellow_Abicase,https://wiki.hypixel.net/images/7/7f/SkyBlock_items_abicase_blue_yellow.png
Lighter Blue™ Abicase,RARE,Shop Purchase,Elizabeth,https://wiki.hypixel.net/Lighter_Blue%E2%84%A2_Abicase,https://wiki.hypixel.net/images/0/0d/SkyBlock_items_abicase_blue_aqua.png
Jungle Amulet,UNCOMMON,Shop Purchase,Odawa,https://wiki.hypixel.net/Jungle_Amulet,https://wiki.hypixel.net/images/e/ea/SkyBlock_items_jungle_amulet.png
Bat Ring,EPIC,Shop Purchase,Fear Mongerer,https://wiki.hypixel.net/Bat_Ring,https://wiki.hypixel.net/images/f/f2/SkyBlock_items_bat_ring.png
Bat Artifact,LEGENDARY,Shop Purchase,Fear Mongerer,https://wiki.hypixel.net/Bat_Artifact,https://wiki.hypixel.net/images/f/f8/SkyBlock_items_bat_artifact.png
Candy Talisman,UNCOMMON,Shop Purchase,Fear Mongerer,https://wiki.hypixel.net/Candy_Talisman,https://wiki.hypixel.net/images/8/8f/SkyBlock_items_candy_talisman.png
Candy Ring,RARE,Shop Purchase,Fear Mongerer,https://wiki.hypixel.net/Candy_Ring,https://wiki.hypixel.net/images/a/aa/SkyBlock_items_candy_ring.png
Candy Artifact,EPIC,Shop Purchase,Fear Mongerer,https://wiki.hypixel.net/Candy_Artifact,https://wiki.hypixel.net/images/8/82/SkyBlock_items_candy_artifact.png
Candy Relic,LEGENDARY,Shop Purchase,Fear Mongerer,https://wiki.hypixel.net/Candy_Relic,https://wiki.hypixel.net/images/6/61/SkyBlock_items_candy_relic.png
Intimidation Ring,UNCOMMON,Shop Purchase,Fear Mongerer,https://wiki.hypixel.net/Intimidation_Ring,https://wiki.hypixel.net/images/3/38/SkyBlock_items_intimidation_ring.png
Intimidation Artifact,RARE,Shop Purchase,Fear Mongerer,https://wiki.hypixel.net/Intimidation_Artifact,https://wiki.hypixel.net/images/8/82/SkyBlock_items_intimidation_artifact.png
Bingo Talisman,COMMON,Shop Purchase,Bingo,https://wiki.hypixel.net/Bingo_Talisman,https://wiki.hypixel.net/images/9/93/SkyBlock_items_bingo_talisman.png
Bingo Ring,UNCOMMON,Shop Purchase,Bingo,https://wiki.hypixel.net/Bingo_Ring,https://wiki.hypixel.net/images/3/33/SkyBlock_items_bingo_ring.png
Bingo Artifact,RARE,Shop Purchase,Bingo,https://wiki.hypixel.net/Bingo_Artifact,https://wiki.hypixel.net/images/8/81/SkyBlock_items_bingo_artifact.png
Bingo Relic,EPIC,Shop Purchase,Bingo,https://wiki.hypixel.net/Bingo_Relic,https://wiki.hypixel.net/images/6/6f/SkyBlock_items_bingo_relic.png
Jacobus Register,LEGENDARY,Shop Purchase,Jacobus,https://wiki.hypixel.net/Jacobus_Register,https://wiki.hypixel.net/images/b/b4/SkyBlock_items_jacobus_register.png
Chumming Talisman,UNCOMMON,Shop Purchase,Moby,https://wiki.hypixel.net/Chumming_Talisman,https://wiki.hypixel.net/images/f/fa/SkyBlock_items_chumming_talisman.png
Trapper Crest,COMMON,Shop Purchase,Talbot,https://wiki.hypixel.net/Trapper_Crest,https://wiki.hypixel.net/images/f/f9/SkyBlock_items_trapper_crest.png
White Gift Talisman,COMMON,Shop Purchase,Einary,https://wiki.hypixel.net/White_Gift_Talisman,https://wiki.hypixel.net/images/5/5a/SkyBlock_items_white_gift_talisman.png
Green Gift Talisman,UNCOMMON,Shop Purchase,Einary,https://wiki.hypixel.net/Green_Gift_Talisman,https://wiki.hypixel.net/images/c/c2/SkyBlock_items_green_gift_talisman.png
Blue Gift Talisman,RARE,Shop Purchase,Einary,https://wiki.hypixel.net/Blue_Gift_Talisman,https://wiki.hypixel.net/images/8/8c/SkyBlock_items_blue_gift_talisman.png
Purple Gift Talisman,EPIC,Shop Purchase,Einary,https://wiki.hypixel.net/Purple_Gift_Talisman,https://wiki.hypixel.net/images/d/de/SkyBlock_items_purple_gift_talisman.png
Gold Gift Talisman,LEGENDARY,Shop Purchase,Einary,https://wiki.hypixel.net/Gold_Gift_Talisman,https://wiki.hypixel.net/images/b/bf/SkyBlock_items_gold_gift_talisman.png
Kuudra Follower Artifact,EPIC,Shop Purchase,Drakuu,https://wiki.hypixel.net/Kuudra_Follower_Artifact,https://wiki.hypixel.net/images/7/7c/SkyBlock_items_kuudra_follower_artifact.png
Bucket Of Dye,RARE,Shop Purchase,Vincent,https://wiki.hypixel.net/Bucket_Of_Dye,https://wiki.hypixel.net/images/9/99/SkyBlock_items_bucket_of_dye.png
Junk Talisman,COMMON,Shop Purchase,Junker Joel,https://wiki.hypixel.net/Junk_Talisman,https://wiki.hypixel.net/images/3/37/SkyBlock_items_junk_talisman.png
Junk Ring,UNCOMMON,Shop Purchase,Junker Joel,https://wiki.hypixel.net/Junk_Ring,https://wiki.hypixel.net/images/b/bb/SkyBlock_items_junk_ring.png
Junk Artifact,RARE,Shop Purchase,Junker Joel,https://wiki.hypixel.net/Junk_Artifact,https://wiki.hypixel.net/images/5/5e/SkyBlock_items_junk_artifact.png
Moonglade Talisman,COMMON,Shop Purchase,Agatha,https://wiki.hypixel.net/Moonglade_Talisman,https://wiki.hypixel.net/images/e/e1/SkyBlock_items_moonglade_talisman.png
Moonglade Ring,UNCOMMON,Shop Purchase,Agatha,https://wiki.hypixel.net/Moonglade_Ring,https://wiki.hypixel.net/images/6/6a/SkyBlock_items_moonglade_ring.png
Moonglade Artifact,RARE,Shop Purchase,Agatha,https://wiki.hypixel.net/Moonglade_Artifact,https://wiki.hypixel.net/images/f/f2/SkyBlock_items_moonglade_artifact.png
Wither Artifact,EPIC,Shop Purchase,Dark Auction,https://wiki.hypixel.net/Wither_Artifact,https://wiki.hypixel.net/images/a/ae/SkyBlock_items_wither_artifact.png
Ender Artifact,EPIC,Shop Purchase,Dark Auction,https://wiki.hypixel.net/Ender_Artifact,https://wiki.hypixel.net/images/b/bb/SkyBlock_items_ender_artifact.png
Nether Artifact,EPIC,Shop Purchase,Dark Auction,https://wiki.hypixel.net/Nether_Artifact,https://wiki.hypixel.net/images/6/66/SkyBlock_items_nether_artifact.png
Magic 8 Ball,EPIC,Shop Purchase,Dark Auction,https://wiki.hypixel.net/Magic_8_Ball,https://wiki.hypixel.net/images/3/3c/SkyBlock_items_magic_8_ball.png
Hegemony Artifact,LEGENDARY,Shop Purchase,Dark Auction,https://wiki.hypixel.net/Hegemony_Artifact,https://wiki.hypixel.net/images/b/b1/SkyBlock_items_hegemony_artifact.png
New Year Cake Bag,UNCOMMON,Shop Purchase,Baker,https://wiki.hypixel.net/New_Year_Cake_Bag,https://wiki.hypixel.net/images/c/c2/SkyBlock_items_new_year_cake_bag.png
Mineral Talisman,RARE,Crafting Recipe,Refined Mineral,https://wiki.hypixel.net/Mineral_Talisman,https://wiki.hypixel.net/images/3/3c/SkyBlock_items_mineral_talisman.png
Glossy Mineral Talisman,EPIC,Crafting Recipe,Glossy Gemstone,https://wiki.hypixel.net/Glossy_Mineral_Talisman,https://wiki.hypixel.net/images/5/54/SkyBlock_items_glossy_mineral_talisman.png
Raggedy Shark Tooth Necklace,COMMON,Crafting Recipe,Shark Tooth,https://wiki.hypixel.net/Raggedy_Shark_Tooth_Necklace,https://wiki.hypixel.net/images/e/ef/SkyBlock_items_raggedy_shark_tooth_necklace.png
Dull Shark Tooth Necklace,UNCOMMON,Crafting Recipe,Shark Tooth,https://wiki.hypixel.net/Dull_Shark_Tooth_Necklace,https://wiki.hypixel.net/images/7/72/SkyBlock_items_dull_shark_tooth_necklace.png
Honed Shark Tooth Necklace,RARE,Crafting Recipe,Shark Tooth,https://wiki.hypixel.net/Honed_Shark_Tooth_Necklace,https://wiki.hypixel.net/images/a/a2/SkyBlock_items_honed_shark_tooth_necklace.png
Sharp Shark Tooth Necklace,EPIC,Crafting Recipe,Shark Tooth,https://wiki.hypixel.net/Sharp_Shark_Tooth_Necklace,https://wiki.hypixel.net/images/8/83/SkyBlock_items_sharp_shark_tooth_necklace.png
Razor-sharp Shark Tooth Necklace,LEGENDARY,Crafting Recipe,Shark Tooth,https://wiki.hypixel.net/Razor-sharp_Shark_Tooth_Necklace,https://wiki.hypixel.net/images/8/89/SkyBlock_items_razor_sharp_shark_tooth_necklace.png
Green Jerry Talisman,UNCOMMON,Drop,Jerry Box,https://wiki.hypixel.net/Green_Jerry_Talisman,https://wiki.hypixel.net/images/e/e5/SkyBlock_items_jerry_talisman_green.png
Blue Jerry Talisman,RARE,Upgrade,Jerry Talisman,https://wiki.hypixel.net/Blue_Jerry_Talisman,https://wiki.hypixel.net/images/9/9d/SkyBlock_items_jerry_talisman_blue.png
Purple Jerry Talisman,EPIC,Upgrade,Jerry Talisman,https://wiki.hypixel.net/Purple_Jerry_Talisman,https://wiki.hypixel.net/images/c/c1/SkyBlock_items_jerry_talisman_purple.png
Golden Jerry Artifact,LEGENDARY,Upgrade,Jerry Talisman,https://wiki.hypixel.net/Golden_Jerry_Artifact,https://wiki.hypixel.net/images/9/94/SkyBlock_items_jerry_talisman_golden.png
Beastmaster Crest (Common),COMMON,Crafting Recipe,Griffin Feather,https://wiki.hypixel.net/Beastmaster_Crest,https://wiki.hypixel.net/images/0/0f/SkyBlock_items_beastmaster_crest_common.png
Beastmaster Crest (Uncommon),UNCOMMON,Crafting Recipe,Griffin Feather,https://wiki.hypixel.net/Beastmaster_Crest,https://wiki.hypixel.net/images/0/0f/SkyBlock_items_beastmaster_crest_common.png
Beastmaster Crest (Rare),RARE,Crafting Recipe,Griffin Feather,https://wiki.hypixel.net/Beastmaster_Crest,https://wiki.hypixel.net/images/0/0f/SkyBlock_items_beastmaster_crest_common.png
Beastmaster Crest (Epic),EPIC,Crafting Recipe,Griffin Feather,https://wiki.hypixel.net/Beastmaster_Crest,https://wiki.hypixel.net/images/0/0f/SkyBlock_items_beastmaster_crest_common.png
Beastmaster Crest (Legendary),LEGENDARY,Crafting Recipe,Griffin Feather,https://wiki.hypixel.net/Beastmaster_Crest,https://wiki.hypixel.net/images/0/0f/SkyBlock_items_beastmaster_crest_common.png
Carnival Mask Bag,COMMON,Shop Purchase,Doug,https://wiki.hypixel.net/Carnival_Mask_Bag,https://wiki.hypixel.net/images/d/d2/SkyBlock_items_carnival_mask_bag.png
Seal Talisman,UNCOMMON,Shop Purchase,Lukas the Aquarist,https://wiki.hypixel.net/Seal_Talisman,https://wiki.hypixel.net/images/7/7d/SkyBlock_items_seal_talisman.png
Seal Ring,RARE,Shop Purchase,Lukas the Aquarist,https://wiki.hypixel.net/Seal_Ring,https://wiki.hypixel.net/images/f/f5/SkyBlock_items_seal_ring.png
Scavenger Ring,UNCOMMON,Upgrade,Scavenger Talisman,https://wiki.hypixel.net/Scavenger_Ring,https://wiki.hypixel.net/images/4/45/SkyBlock_items_scavenger_ring.png
Scavenger Artifact,RARE,Upgrade,Scavenger Ring,https://wiki.hypixel.net/Scavenger_Artifact,https://wiki.hypixel.net/images/d/d4/SkyBlock_items_scavenger_artifact.png
Emerald Artifact,RARE,Upgrade,Emerald Ring,https://wiki.hypixel.net/Emerald_Artifact,https://wiki.hypixel.net/images/e/e2/SkyBlock_items_emerald_artifact.png
Ring Of Coins,UNCOMMON,Upgrade,Talisman Of Coins,https://wiki.hypixel.net/Ring_Of_Coins,https://wiki.hypixel.net/images/7/7d/SkyBlock_items_ring_of_coins.png
Artifact Of Coins,RARE,Upgrade,Ring Of Coins,https://wiki.hypixel.net/Artifact_Of_Coins,https://wiki.hypixel.net/images/e/e2/SkyBlock_items_artifact_of_coins.png
Relic Of Coins,EPIC,Upgrade,Artifact Of Coins,https://wiki.hypixel.net/Relic_Of_Coins,https://wiki.hypixel.net/images/4/46/SkyBlock_items_relic_of_coins.png
Nibble Chocolate Stick,COMMON,Shop Purchase,Chocolate Factory,https://wiki.hypixel.net/Nibble_Chocolate_Stick,https://wiki.hypixel.net/images/2/2e/SkyBlock_items_nibble_chocolate_stick.png
Smooth Chocolate Bar,UNCOMMON,Upgrade,Nibble Chocolate Stick,https://wiki.hypixel.net/Smooth_Chocolate_Bar,https://wiki.hypixel.net/images/7/73/SkyBlock_items_smooth_chocolate_bar.png
Rich Chocolate Chunk,RARE,Upgrade,Smooth Chocolate Bar,https://wiki.hypixel.net/Rich_Chocolate_Chunk,https://wiki.hypixel.net/images/7/7b/SkyBlock_items_rich_chocolate_chunk.png
Ganache Chocolate Slab,EPIC,Upgrade,Rich Chocolate Chunk,https://wiki.hypixel.net/Ganache_Chocolate_Slab,https://wiki.hypixel.net/images/3/37/SkyBlock_items_ganache_chocolate_slab.png
Prestige Chocolate Realm,LEGENDARY,Upgrade,Ganache Chocolate Slab,https://wiki.hypixel.net/Prestige_Chocolate_Realm,https://wiki.hypixel.net/images/2/21/SkyBlock_items_prestige_chocolate_realm.png
Intimidation Relic,EPIC,Upgrade,Intimidation Artifact,https://wiki.hypixel.net/Intimidation_Relic,https://wiki.hypixel.net/images/b/b7/SkyBlock_items_intimidation_relic.png
Runebook,COMMON,Reward,Raffle Box,https://wiki.hypixel.net/Runebook,https://wiki.hypixel.net/images/5/59/SkyBlock_items_runebook.png
Talisman Of The Century,COMMON,Reward,Raffle Box,https://wiki.hypixel.net/Talisman_Of_The_Century,https://wiki.hypixel.net/images/f/f8/SkyBlock_items_century_talisman.png
Ring Of The Century,UNCOMMON,Upgrade,Talisman Of The Century,https://wiki.hypixel.net/Ring_Of_The_Century,https://wiki.hypixel.net/images/f/fa/SkyBlock_items_century_ring.png
Great Spook Talisman,COMMON,Shop Purchase,Tyashoi Alchemist,https://wiki.hypixel.net/Great_Spook_Talisman,https://wiki.hypixel.net/images/2/24/SkyBlock_items_great_spook_talisman.png
Great Spook Ring,UNCOMMON,Shop Purchase,Tyashoi Alchemist,https://wiki.hypixel.net/Great_Spook_Ring,https://wiki.hypixel.net/images/8/8c/SkyBlock_items_great_spook_ring.png
Great Spook Artifact,RARE,Shop Purchase,Tyashoi Alchemist,https://wiki.hypixel.net/Great_Spook_Artifact,https://wiki.hypixel.net/images/2/25/SkyBlock_items_great_spook_artifact.png
Crab Hat of Celebration,SPECIAL,Unobtainable,Simon,https://wiki.hypixel.net/Red_Crab_Hat_Of_Celebration,https://wiki.hypixel.net/images/d/de/SkyBlock_items_red.png
Crab Hat of Celebration - 2022 Edition,SPECIAL,Unobtainable,Simon,https://wiki.hypixel.net/Red_Crab_Hat_Of_Celebration_-_2022_Edition,https://wiki.hypixel.net/images/e/ed/SkyBlock_items_party_hat_crab_animated_red.gif
